,Actual,Predicted
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,0.0,0
7,1.0,1
8,0.0,0
9,1.0,1
10,1.0,1
11,1.0,1
12,1.0,1
13,1.0,1
14,0.0,0
15,1.0,1
16,0.0,0
17,1.0,1
18,0.0,0
19,0.0,0
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,1.0,1
25,1.0,1
26,0.0,0
27,1.0,1
28,1.0,1
29,1.0,1
30,1.0,1
31,1.0,1
32,1.0,1
33,0.0,0
34,1.0,1
35,1.0,1
36,1.0,1
37,0.0,0
38,1.0,1
39,1.0,1
40,1.0,1
41,1.0,1
42,1.0,1
43,1.0,1
44,1.0,1
45,0.0,0
46,1.0,1
47,1.0,1
48,0.0,0
49,1.0,1
50,1.0,1
51,1.0,1
52,1.0,1
53,1.0,1
54,1.0,1
55,1.0,1
56,1.0,1
57,1.0,1
58,1.0,1
59,1.0,1
60,1.0,1
61,1.0,1
62,1.0,1
63,1.0,1
64,1.0,1
65,0.0,0
66,1.0,1
67,1.0,1
68,1.0,1
69,1.0,1
70,0.0,0
71,0.0,0
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,1
76,1.0,1
77,1.0,1
78,1.0,1
79,1.0,1
80,1.0,1
81,1.0,1
82,1.0,1
83,1.0,1
84,1.0,1
85,0.0,0
86,1.0,1
87,1.0,1
88,1.0,1
89,1.0,1
90,1.0,1
91,1.0,1
92,1.0,1
93,0.0,0
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,0.0,0
99,1.0,1
100,1.0,1
101,1.0,1
102,0.0,0
103,0.0,0
104,1.0,1
105,1.0,1
106,0.0,0
107,1.0,1
108,1.0,1
109,0.0,0
110,1.0,1
111,1.0,1
112,1.0,1
113,0.0,0
114,1.0,1
115,1.0,1
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,1
123,1.0,1
124,1.0,1
125,1.0,1
126,1.0,1
127,1.0,1
128,1.0,1
129,1.0,1
130,0.0,0
131,1.0,1
132,1.0,1
133,1.0,1
134,1.0,1
135,1.0,1
136,0.0,0
137,1.0,1
138,1.0,1
139,1.0,1
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,1.0,1
145,0.0,0
146,1.0,1
147,1.0,1
148,1.0,1
149,0.0,0
150,1.0,1
151,1.0,1
152,1.0,1
153,0.0,0
154,0.0,0
155,1.0,1
156,1.0,1
157,1.0,1
158,1.0,1
159,1.0,1
160,1.0,1
161,1.0,1
162,1.0,1
163,1.0,1
164,1.0,1
165,1.0,1
166,1.0,1
167,0.0,0
168,1.0,1
169,1.0,1
170,0.0,0
171,1.0,1
172,1.0,1
173,1.0,1
174,1.0,1
175,1.0,1
176,0.0,0
177,1.0,1
178,1.0,1
179,1.0,1
180,1.0,1
181,0.0,0
182,1.0,1
183,1.0,1
184,1.0,1
185,1.0,1
186,0.0,0
187,0.0,0
188,1.0,1
